country_name_worldbank,country,gdp_per_capita_2020,gdp_per_capita_2021,gdp_per_capita_2022,gdp_per_capita_2023,gdp_per_capita_2024
Aruba,ABW,22759.8071750722,26749.3296093118,30975.9989121779,35718.7531191634,39498.5941293797
Africa Eastern and Southern,AFE,1351.59166910879,1562.41617477738,1679.32762166466,1571.44918918981,1615.39635562849
Afghanistan,AFG,510.787063366811,356.496214115892,357.261152798144,413.757894705303,
Africa Western and Central,AFW,2030.86165860293,2112.79407637079,2138.47315259913,1841.85506354867,1411.33702938476
Angola,AGO,1759.35619918264,2303.90812662776,3682.1131513698,2916.13663284275,2665.87444776753
Albania,ALB,6027.91350716348,7242.45513146613,7756.96188744253,9730.86921906893,11377.7757431099
Andorra,AND,37361.1070081615,42425.7066454357,42414.0479861228,46812.4261013102,49303.6491674336
Arab World,ARB,5739.41283580539,6697.41498492196,7950.35581975672,7513.89907880749,7583.81170078144
United Arab Emirates,ARE,37991.7492971665,44118.5047192771,50759.7589231191,49850.6872175164,50273.5060469837
Argentina,ARG,8535.59938004389,10738.0179223384,13962.1894087223,14261.8465667948,13969.7836603737
Armenia,ARM,4268.68093304583,4685.17997128509,6571.97445545099,8159.08720967996,8556.21406956719
American Samoa,ASM,14489.2586563775,15236.1604875571,18017.4589383973,,
Antigua and Barbuda,ATG,15369.6082250401,17348.6006987182,20105.1989085164,21494.5474000727,23542.4526945578
Australia,AUS,51983.4523666382,60758.9044397144,65169.5191118657,65058.3773146674,64603.9856308464
Austria,AUT,48716.4098900349,53648.6437976214,52336.7725223758,56579.504175468,58268.8787651601
Azerbaijan,AZE,4229.91064904503,5408.04535175023,7770.594223351,7133.02838048328,7283.8499076179
Burundi,BDI,255.8324539389,264.980379269655,302.992505263552,250.627253097255,219.424830882698
Belgium,BEL,45906.2875805246,51658.238294958,50605.7496677086,55291.4754541329,56614.5679499036
Benin,BEN,1200.19426557789,1318.65158075198,1266.42711031904,1394.17784721831,1485.38018885134
Burkina Faso,BFA,825.237038782475,895.535288442991,827.330843486661,873.482589651003,981.992649769081
Bangladesh,BGD,2248.85078828233,2482.84917843357,2716.48592780431,2551.01773827307,2593.41611680774
Bulgaria,BGR,10760.211975413,12966.1457543396,13999.1949530956,15853.208636704,17596.0173663521
Bahrain,BHR,24342.8444554718,27147.8083882286,30470.5219276023,29290.1284215098,29653.5682731534
"Bahamas, The",BHS,26178.7537607708,30367.8605757708,34957.1613279737,38231.774484278,39455.4466548546
Bosnia and Herzegovina,BIH,6130.31187968266,7295.34378682258,7655.59421024383,8663.02326458629,9358.78768951134
Belarus,BLR,6542.85579976768,7489.71894713888,7994.64806074889,7896.75388295584,8317.63399913792
Belize,BLZ,5238.54078175696,6142.98930557031,7068.21728043145,7424.75821321022,7681.24400583113
