country_name_worldbank,country,population_2020,population_2021,population_2022,population_2023,population_2024
Aruba,ABW,108587.0,107700.0,107310.0,107359.0,107995.0
Africa Eastern and Southern,AFE,694446100.0,713090928.0,731821393.0,750491370.0,769280888.0
Afghanistan,AFG,39068979.0,40000412.0,40578842.0,41454761.0,42647492.0
Africa Western and Central,AFW,474569351.0,485920997.0,497387180.0,509398589.0,521764076.0
Angola,AGO,33451132.0,34532429.0,35635029.0,36749906.0,37885849.0
Albania,ALB,2528480.0,2489762.0,2451636.0,2414095.0,2377128.0
Andorra,AND,77380.0,78364.0,79705.0,80856.0,81938.0
Arab World,ARB,453723239.0,460646603.0,471352066.0,482105978.0,492612632.0
United Arab Emirates,ARE,9401038.0,9575152.0,10074977.0,10483751.0,10986400.0
Argentina,ARG,45191965.0,45312281.0,45407904.0,45538401.0,45696159.0
Armenia,ARM,2961500.0,2962300.0,2969200.0,2964300.0,3033500.0
American Samoa,ASM,49761.0,49225.0,48342.0,47521.0,46765.0
Antigua and Barbuda,ATG,91846.0,92349.0,92840.0,93316.0,93772.0
Australia,AUS,25649248.0,25685412.0,26018721.0,26659922.0,27196812.0
Austria,AUT,8916864.0,8955797.0,9041851.0,9131761.0,9177982.0
Azerbaijan,AZE,10093121.0,10137750.0,10141756.0,10153958.0,10202830.0
Burundi,BDI,12617036.0,12965481.0,13321097.0,13689450.0,14047786.0
Belgium,BEL,11538604.0,11586195.0,11680210.0,11779946.0,11858610.0
Benin,BEN,13070169.0,13413417.0,13759501.0,14111034.0,14462724.0
Burkina Faso,BFA,21478690.0,21995243.0,22509038.0,23025776.0,23548781.0
Bangladesh,BGD,166298024.0,167658854.0,169384897.0,171466990.0,173562364.0
Bulgaria,BGR,6550696.0,6507301.0,6465097.0,6446596.0,6441421.0
Bahrain,BHR,1472204.0,1504365.0,1524693.0,1577059.0,1588670.0
"Bahamas, The",BHS,395863.0,396373.0,397538.0,399440.0,401283.0
Bosnia and Herzegovina,BIH,3299349.0,3244907.0,3204802.0,3185073.0,3164253.0
Belarus,BLR,9379952.0,9302585.0,9228071.0,9178298.0,9132629.0
Belize,BLZ,390812.0,395346.0,402733.0,411106.0,417072.0
Bermuda,BMU,64382.0,64648.0,64749.0,64698.0,64636.0
Bolivia,BOL,11816299.0,11937360.0,12077154.0,12244159.0,12413315.0
Brazil,BRA,208660842.0,209550294.0,210306415.0,211140729.0,211998573.0
Barbados,BRB,281698.0,282147.0,282318.0,282336.0,282467.0
Brunei Darussalam,BRN,447404.0,451721.0,455370.0,458949.0,462721.0
Bhutan,BTN,770006.0,775442.0,780914.0,786385.0,791524.0
Botswana,BWA,2365894.0,2401441.0,2439892.0,2480244.0,2521139.0
Central African Republic,CAF,5026628.0,5112100.0,5098039.0,5152421.0,5330690.0
Canada,CAN,38028638.0,38239864.0,38935934.0,40083484.0,41288599.0
Central Europe and the Baltics,CEB,101215763.0,100205732.0,100071871.0,100183707.0,100061963.0
Switzerland,CHE,8638167.0,8704546.0,8777088.0,8888822.0,9005582.0
Channel Islands,CHI,166235.0,166741.0,167215.0,167691.0,168126.0
Chile,CHL,19370624.0,19456334.0,19553036.0,19658835.0,19764771.0
China,CHN,1411100000.0,1412360000.0,1412175000.0,1410710000.0,1408975000.0
Cote d'Ivoire,CIV,28915449.0,29639736.0,30395002.0,31165654.0,31934230.0
Cameroon,CMR,26210558.0,26915758.0,27632771.0,28372687.0,29123744.0
"Congo, Dem. Rep.",COD,95989998.0,99148932.0,102396968.0,105789731.0,109276265.0
"Congo, Rep.",COG,5752791.0,5892183.0,6035104.0,6182885.0,6332961.0
Colombia,COL,50629997.0,51188173.0,51737944.0,52321152.0,52886363.0
Comoros,COM,802163.0,818174.0,834188.0,850387.0,866628.0
Cabo Verde,CPV,514679.0,516649.0,519741.0,522331.0,524877.0
Costa Rica,CRI,5034320.0,5059988.0,5081765.0,5105525.0,5129910.0
Caribbean small states,CSS,4459302.0,4479167.0,4497310.0,4519904.0,4539060.0
Cuba,CUB,11176354.0,11122168.0,11059820.0,11019931.0,10979783.0
Curacao,CUW,155482.0,153948.0,153321.0,154654.0,155967.0
Cayman Islands,CYM,68684.0,70108.0,71591.0,73038.0,74457.0
Cyprus,CYP,1302247.0,1317309.0,1331370.0,1344976.0,1358282.0
Czechia,CZE,10697858.0,10505772.0,10672118.0,10864042.0,10905028.0
Germany,DEU,83160871.0,83196078.0,83177813.0,83287273.0,83516593.0
Djibouti,DJI,1105188.0,1121248.0,1137096.0,1152944.0,1168722.0
Dominica,DMA,67573.0,67202.0,66826.0,66510.0,66205.0
Denmark,DNK,5831404.0,5856733.0,5903037.0,5946952.0,5976992.0
Dominican Republic,DOM,11008300.0,11123476.0,11230734.0,11331265.0,11427557.0
Algeria,DZA,44042091.0,44761099.0,45477389.0,46164219.0,46814308.0
East Asia & Pacific (excluding high income),EAP,2121866294.0,2128553744.0,2133560408.0,2137527754.0,2141122258.0
Early-demographic dividend,EAR,3396051187.0,3432026092.0,3470644834.0,3511607650.0,3552278604.0
East Asia & Pacific,EAS,2369420882.0,2375117716.0,2379617118.0,2384441485.0,2388319494.0
Europe & Central Asia (excluding high income),ECA,250351240.0,251867727.0,250514347.0,248721385.0,250281521.0
Europe & Central Asia,ECS,923664467.0,924381062.0,924234471.0,924773523.0,928263208.0
Ecuador,ECU,17546065.0,17682454.0,17823897.0,17980083.0,18135478.0
"Egypt, Arab Rep.",EGY,109315124.0,110957008.0,112618250.0,114535772.0,116538258.0
Euro area,EMU,346986142.0,347207191.0,348200155.0,349762722.0,351161936.0
Eritrea,ERI,3291271.0,3350183.0,3409447.0,3470390.0,3535603.0
Spain,ESP,47359424.0,47443821.0,47786102.0,48352528.0,48848840.0
Estonia,EST,1329522.0,1330932.0,1348840.0,1370286.0,1372341.0
Ethiopia,ETH,118917671.0,122138588.0,125384287.0,128691692.0,132059767.0
European Union,EUU,446870959.0,446227358.0,447202673.0,448897545.0,450228188.0
Fragile and conflict affected situations,FCS,994901090.0,1016906998.0,1036390026.0,1057033168.0,1081767572.0
Finland,FIN,5529543.0,5541017.0,5556106.0,5583911.0,5619911.0
Fiji,FJI,914963.0,916711.0,919422.0,924145.0,928784.0
France,FRA,67601110.0,67842811.0,68184457.0,68372286.0,68551653.0
Faroe Islands,FRO,52565.0,53296.0,53912.0,54414.0,54681.0
"Micronesia, Fed. Sts.",FSM,110916.0,111624.0,112114.0,112630.0,113160.0
Gabon,GAB,2322539.0,2376722.0,2430747.0,2484789.0,2538952.0
United Kingdom,GBR,66744000.0,66984000.0,67604000.0,68492000.0,69226000.0
Georgia,GEO,3722716.0,3708610.0,3712502.0,3715483.0,3699557.0
Ghana,GHA,31887809.0,32518665.0,33149152.0,33787914.0,34427414.0
Gibraltar,GIB,36173.0,36858.0,37609.0,38471.0,39329.0
Guinea,GIN,13371183.0,13710513.0,14055137.0,14405468.0,14754785.0
"Gambia, The",GMB,2515733.0,2576010.0,2636470.0,2697845.0,2759988.0
Guinea-Bissau,GNB,2013255.0,2058841.0,2105529.0,2153339.0,2201352.0
Equatorial Guinea,GNQ,1716468.0,1758786.0,1803545.0,1847549.0,1892516.0
Greece,GRC,10698599.0,10569207.0,10436882.0,10407351.0,10405134.0
Grenada,GRD,116341.0,116688.0,116913.0,117081.0,117207.0
Greenland,GRL,56367.0,56653.0,56661.0,56865.0,56836.0
Guatemala,GTM,17357325.0,17598650.0,17847877.0,18124838.0,18406359.0
Guam,GUM,162158.0,163730.0,165180.0,166506.0,167777.0
Guyana,GUY,807481.0,815482.0,821637.0,826353.0,831087.0
High income,HIC,1393472875.0,1391814501.0,1398001706.0,1408190184.0,1417841927.0
"Hong Kong SAR, China",HKG,7481000.0,7413100.0,7346100.0,7536100.0,7524100.0
Honduras,HND,10119640.0,10289877.0,10463872.0,10644851.0,10825703.0
Heavily indebted poor countries (HIPC),HPC,847743308.0,870930036.0,893906294.0,917304254.0,941413026.0
Croatia,HRV,3914206.0,3878981.0,3855641.0,3859686.0,3866200.0
Haiti,HTI,11243848.0,11374586.0,11503606.0,11637398.0,11772557.0
Hungary,HUN,9670419.0,9630932.0,9605074.0,9592186.0,9562065.0
IBRD only,IBD,4878296727.0,4905212516.0,4928196300.0,4952212190.0,4979421568.0
IDA & IBRD total,IBT,6666470352.0,6732651035.0,6794724390.0,6858521511.0,6926222113.0
IDA total,IDA,1788173625.0,1827438519.0,1866528090.0,1906309321.0,1946800545.0
IDA blend,IDB,626440308.0,639196319.0,651895919.0,664395892.0,676957651.0
Indonesia,IDN,274814866.0,276758053.0,278830529.0,281190067.0,283487931.0
IDA only,IDX,1161733317.0,1188242200.0,1214632171.0,1241913429.0,1269842894.0
Isle of Man,IMN,84064.0,84106.0,84132.0,84165.0,84160.0
India,IND,1402617695.0,1414203896.0,1425423212.0,1438069596.0,1450935791.0
Not classified,INX,,,,,
Ireland,IRL,5039747.0,5110585.0,5212836.0,5311538.0,5395790.0
"Iran, Islamic Rep.",IRN,87723443.0,88455488.0,89524246.0,90608707.0,91567738.0
Iraq,IRQ,42116605.0,43071211.0,44070551.0,45074049.0,46042015.0
Iceland,ISL,366463.0,372520.0,382003.0,385663.0,386506.0
